t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.8312804635960989,1.4187195364039014,0.580362705133234,0.5937400809707009,0.5333844200883994,0.5496666666666666,0.45033333333333336,0.5812804635960989,0.4187195364039013,0.6513694903283428,0.45645042187966844,0.4556213017751479,0.35361730899256255
1,1.8312804635960989,1.4187195364039014,2.440018758385503,1.8099812416144974,0.8451225829395179,0.8605014034801295,0.7706154701290142,0.5716666666666667,0.42833333333333334,0.6087382947894042,0.39126170521059594,0.6738657230116258,0.4386035874572734,0.4241302738712065,0.3074590661006671
2,2.440018758385503,1.8099812416144974,3.053988149714119,2.1960118502858816,1.1111770637527316,1.1412801894355826,0.9914622203044586,0.5733333333333334,0.42666666666666664,0.6139693913286158,0.38603060867138433,0.6875710345877399,0.4479988860617643,0.42412451361867703,0.31486880466472306
3,3.053988149714119,2.1960118502858816,3.6875846491752737,2.562415350824727,1.3812842482501753,1.4175904884097525,1.2211312000477692,0.591,0.40900000000000003,0.6335964994611548,0.3664035005388454,0.6986386553487467,0.4562935259804698,0.446875,0.30174418604651165
4,3.6875846491752737,2.562415350824727,4.328320170601116,2.9216798293988853,1.6529460871660389,1.704592837921072,1.4374460156367659,0.5973333333333334,0.4026666666666666,0.6407355214258421,0.359264478574158,0.7085618444844644,0.4641779967525181,0.4441727791361043,0.2966723068245911
5,4.328320170601116,2.9216798293988853,4.994919917570566,3.255080082429436,1.9253747787137068,1.9836078013080833,1.671721353824739,0.6323333333333333,0.3676666666666667,0.6665997469694493,0.33340025303055076,0.7164541372217335,0.47388732255678495,0.4925496688741722,0.2734375
6,4.994919917570566,3.255080082429436,5.679520518501061,3.570479481498941,2.211388920446087,2.274227413454769,1.8936348565719947,0.6453333333333333,0.3546666666666667,0.6846006009304956,0.3153993990695046,0.7211069308619507,0.4881179144022989,0.4886672710788758,0.2635740643120717
7,5.679520518501061,3.570479481498941,6.373415147361733,3.8765848526382687,2.490907513628376,2.574991826195281,2.1014847359046605,0.661,0.33899999999999997,0.6938946288606723,0.30610537113932795,0.7319982038623194,0.49484867535384297,0.5281954887218046,0.2660123966942149
8,6.373415147361733,3.8765848526382687,7.076135499070954,4.173864500929048,2.7779511901644076,2.878701480471602,2.306991172086706,0.6683333333333333,0.33166666666666667,0.7027203517092214,0.29727964829077874,0.7375086357355155,0.5111361777915626,0.5024582104228122,0.24659606656580937
9,7.076135499070954,4.173864500929048,7.783350708439632,4.46664929156037,3.0677514378098145,3.1880183554643833,2.5033307110065266,0.6703333333333333,0.32966666666666666,0.7072152093686778,0.2927847906313224,0.7464935536944477,0.5188949479560273,0.5236180904522613,0.256857855361596
10,7.783350708439632,4.46664929156037,8.503098222614252,4.746901777385751,3.363285732079357,3.4922317942550976,2.7150473734760032,0.682,0.31799999999999995,0.7197475141746194,0.28025248582538076,0.7544853640945329,0.5265929604201243,0.5288169868554095,0.24266534062655395
11,8.503098222614252,4.746901777385751,9.217856898257647,5.0321431017423555,3.637702403276995,3.8143710637036166,2.8874332189073435,0.6836666666666666,0.31633333333333336,0.7147586756433957,0.2852413243566046,0.7614031140677372,0.5332018296899292,0.5324947589098532,0.2458455522971652
12,9.217856898257647,5.0321431017423555,9.958082592265713,5.29191740773429,3.9582861949336583,4.1083928514158,3.1326261380011626,0.7046666666666667,0.29533333333333334,0.7402256940080664,0.25977430599193385,0.7652604589724583,0.5473002312930111,0.5500526870389885,0.22379327157484155
13,9.958082592265713,5.29191740773429,10.685746657583836,5.564253342416167,4.231473722391003,4.44498773512669,3.2758145509230836,0.6953333333333334,0.30466666666666664,0.727664065318123,0.2723359346818772,0.7722620115159748,0.548517616244512,0.5519187358916479,0.2445600756859035
14,10.685746657583836,5.564253342416167,11.414634576706579,5.835365423293425,4.519655486839354,4.764387614681703,3.4590344918552427,0.6986666666666667,0.30133333333333334,0.7288879191227423,0.27111208087725774,0.7771534088442623,0.5606642360522857,0.5514223194748359,0.236816874400767
15,11.414634576706579,5.835365423293425,12.156769280986596,6.093230719013406,4.834552324990831,5.071789935866837,3.6769819187897097,0.7096666666666667,0.29033333333333333,0.7421347042800183,0.2578652957199819,0.7810187116770264,0.5687241998693159,0.5763274336283186,0.23282442748091603
16,12.156769280986596,6.093230719013406,12.903055391150838,6.346944608849165,5.119899074381267,5.392415783442256,3.8662668885914453,0.7216666666666667,0.2783333333333333,0.7462861101642418,0.25371388983575827,0.7855431251150921,0.5720371336049521,0.5591274397244547,0.2118365429779239
17,12.903055391150838,6.346944608849165,13.662264158071553,6.58773584192845,5.447048752878545,5.705009720014833,4.0839587704992155,0.7303333333333333,0.2696666666666667,0.7592087669207143,0.2407912330792858,0.7877318886243495,0.5835624033850599,0.578443113772455,0.21108545034642032
18,13.662264158071553,6.58773584192845,14.432792778977314,6.81720722102269,5.764847324524247,6.023040786580811,4.296778399861709,0.743,0.257,0.7705286209057604,0.22947137909423965,0.7927182212109708,0.5854452707460022,0.588380716934487,0.19990871748060246
19,14.432792778977314,6.81720722102269,15.217137109610682,7.032862890389321,6.101932094738618,6.341919136568613,4.51961730358735,0.753,0.247,0.7843443306333687,0.21565566936663141,0.7968074803021576,0.590905405069518,0.603112840466926,0.19515477792732167
