t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.753214892767101,1.496785107232899,0.5682237582719637,0.5467085271475787,0.5716025715392651,0.47533333333333333,0.5246666666666666,0.503214892767101,0.49678510723289915,0.5665859727432854,0.3702144420804475,0.3727810650887574,0.4192021636240703
1,1.753214892767101,1.496785107232899,2.2491311692654805,2.00086883073452,0.8265220549721227,0.8028479553666886,0.8171491014366984,0.45866666666666667,0.5413333333333333,0.49591627649837944,0.5040837235016207,0.5833395581026709,0.350641039504295,0.32592121982210925,0.39481065918653574
2,2.2491311692654805,2.00086883073452,2.7358980534951014,2.5141019465048995,1.0832681015177232,1.0701718924524317,1.051283556537815,0.447,0.5529999999999999,0.4867668842296207,0.5132331157703794,0.5901597313838195,0.34776146424220633,0.3374384236453202,0.42369186046511625
3,2.7358980534951014,2.5141019465048995,3.230957365226131,3.0190426347738697,1.340849130456508,1.3013784369034112,1.3213540402009734,0.452,0.548,0.49505931173103,0.5049406882689702,0.5934926121650309,0.34833429120642134,0.3387582881253767,0.4079045488441462
4,3.230957365226131,3.0190426347738697,3.7155914266072045,3.534408573392797,1.5996699285993865,1.5807457629201191,1.5426892586975836,0.438,0.562,0.4846340613810731,0.5153659386189271,0.594397218094442,0.3451050854615837,0.3217761557177616,0.42109144542772864
5,3.7155914266072045,3.534408573392797,4.215209785211667,4.034790214788334,1.852025721861888,1.7820976728745688,1.8422697017838472,0.459,0.5409999999999999,0.49961835860446263,0.5003816413955374,0.5978994503198078,0.34610838851984704,0.3552787663107948,0.4079147640791476
6,4.215209785211667,4.034790214788334,4.722751874648623,4.527248125351379,2.107765707974817,1.996814621031486,2.1293272564614174,0.465,0.5349999999999999,0.5075420894369552,0.4924579105630449,0.5912537769732514,0.34592748768586984,0.348120764017252,0.3972403776325345
7,4.722751874648623,4.527248125351379,5.226653189580872,5.02334681041913,2.365046759537046,2.2543914769632365,2.3710466648636292,0.4613333333333333,0.5386666666666666,0.5039013149322492,0.4960986850677509,0.5912672562919584,0.3431396423444137,0.36261682242990656,0.425089605734767
8,5.226653189580872,5.02334681041913,5.727303816513555,5.522696183486447,2.6200070827008974,2.5143188745678926,2.6105769533269965,0.4593333333333333,0.5406666666666666,0.5006506269326829,0.4993493730673173,0.591213124098598,0.34435786785591094,0.34777227722772275,0.41040462427745666
9,5.727303816513555,5.522696183486447,6.221884207661863,6.02811579233814,2.8727755265882755,2.7937536120866002,2.8304356182561508,0.455,0.5449999999999999,0.4945803911483081,0.5054196088516921,0.5910134028436071,0.34563179629278235,0.3563501849568434,0.4288824383164006
10,6.221884207661863,6.02811579233814,6.701186868798434,6.548813131201569,3.124192077966738,3.1359686705896297,2.990004237132076,0.44033333333333335,0.5596666666666666,0.47930266113657094,0.5206973388634292,0.5915125294909886,0.3471674045228928,0.3259938837920489,0.4227106227106227
11,6.701186868798434,6.548813131201569,7.187505792019078,7.062494207980925,3.3789108279764952,3.3458794564256924,3.279019846093291,0.44966666666666666,0.5503333333333333,0.48631892322064385,0.5136810767793564,0.5946801611299635,0.3497305334871203,0.33948779035139964,0.41029523088569264
12,7.187505792019078,7.062494207980925,7.703439296526702,7.5465607034733,3.644100075803927,3.392247178059495,3.741009673048198,0.4706666666666667,0.5293333333333333,0.5159335045076242,0.4840664954923759,0.5912798707234579,0.3498520739190785,0.35069654754694124,0.3825055596738325
13,7.703439296526702,7.5465607034733,8.206114873055279,8.043885126944724,3.899524191724828,3.726361020729974,3.9002173939504794,0.4603333333333333,0.5396666666666667,0.5026755765285764,0.4973244234714237,0.5911430017336379,0.3405517635336345,0.34697732997481107,0.4121813031161473
14,8.206114873055279,8.043885126944724,8.689908517071377,8.560091482928627,4.149441867927717,4.121946349434074,4.003511920189841,0.44466666666666665,0.5553333333333333,0.4837936440160973,0.5162063559839029,0.5913941985038119,0.34469016098140426,0.3230389129092032,0.41274438812454745
15,8.689908517071377,8.560091482928627,9.196356575491718,9.053643424508286,4.409294904860036,4.184259778931297,4.444418834781971,0.465,0.5349999999999999,0.5064480584203407,0.4935519415796595,0.5929405293370106,0.3496442062397213,0.3487394957983193,0.38980509745127434
16,9.196356575491718,9.053643424508286,9.689460410901516,9.560539589098488,4.661267060162681,4.545294891307322,4.579490177764168,0.45466666666666666,0.5453333333333333,0.4931038354097975,0.5068961645902027,0.5900130302421699,0.34448712032715373,0.3383177570093458,0.4114695340501792
17,9.689460410901516,9.560539589098488,10.19294832070137,10.057051679298635,4.9150373399188965,4.698368011380974,4.929183369152374,0.464,0.536,0.503487909799854,0.49651209020014614,0.5904113634125694,0.3484615493326927,0.34963325183374083,0.39882697947214074
18,10.19294832070137,10.057051679298635,10.708917509946376,10.541082490053629,5.175097816517593,4.820471007686018,5.316441477516659,0.4736666666666667,0.5263333333333333,0.5159691892450061,0.48403081075499393,0.5900209435030771,0.34546549359010537,0.35261194029850745,0.3864942528735632
19,10.708917509946376,10.541082490053629,11.213226286292167,11.036773713707838,5.417869250209344,5.180346938068331,5.447684498792321,0.467,0.5329999999999999,0.5043087763457905,0.49569122365420965,0.5888111534575675,0.3423504711610296,0.34515516149461684,0.3976073187895848
