t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.8557908462924333,1.459195354573624,0.6183270750404266,0.580514044564545,0.5466838416822616,0.5479,0.45209999999999995,0.6057908462924332,0.45919535457362415,0.6478623436002746,0.4422241132865427,0.44986182392420054,0.3514389947304418
1,1.8557908462924333,1.459195354573624,2.465938003968719,1.9077982066129962,0.9062076138698689,0.8570466331011921,0.8043760184706759,0.555,0.44499999999999995,0.6101471576762857,0.44860285203937217,0.6501808449282224,0.4346073622446147,0.42556956425569564,0.33820040153312647
2,2.465938003968719,1.9077982066129962,3.0791914049601647,2.356691574168829,1.2016621622899857,1.1358069171894283,1.0559283957936003,0.5549,0.44510000000000005,0.6132534009914458,0.448893367555833,0.653740023104901,0.4372556238508934,0.431685393258427,0.3463063063063063
3,3.0791914049601647,2.356691574168829,3.6956247728850795,2.803401813604648,1.496366899362054,1.4147258044630475,1.3094399425187575,0.5574,0.4426,0.6164333679249147,0.44671023943581895,0.6563162647836138,0.4402179687443045,0.43990114580993034,0.3483510542440079
4,3.6956247728850795,2.803401813604648,4.316974068329258,3.247044870771633,1.7926263307334358,1.6934240916585521,1.564179442716756,0.5631,0.43689999999999996,0.621349295444178,0.44364305716698454,0.6580904912310114,0.44314160957051535,0.4392227745142341,0.3385360602798708
5,4.316974068329258,3.247044870771633,4.944524002780973,3.6845749381202584,2.091425868240103,1.9703321897341626,1.8232330260274614,0.5657,0.4343,0.6275499344517157,0.43753006734862576,0.6594654639847015,0.44387796308868743,0.46303501945525294,0.3546439353578405
6,4.944524002780973,3.6845749381202584,5.57020772480504,4.12429893492233,2.387490600979085,2.2563444787395106,2.0695200157156135,0.5639,0.43610000000000004,0.6256837220240667,0.4397239968020722,0.6619696461999037,0.4448573701740649,0.43794612019341467,0.3394025101643981
7,5.57020772480504,4.12429893492233,6.194272869950991,4.566696126675655,2.684251030530524,2.542636426799553,2.3153589522827485,0.5615,0.4385,0.6240651451459513,0.4423971917533252,0.6636708126910262,0.4480365382347593,0.44370557211648703,0.3474020216350417
8,6.194272869950991,4.566696126675655,6.836023958677632,4.992833139301103,2.9900530260752745,2.8053981115258,2.597349391436649,0.5784,0.4216,0.6417510887266413,0.4261370126254483,0.6655599472975977,0.4482097459685407,0.4572405929304447,0.3269813000890472
9,6.836023958677632,4.992833139301103,7.4660287669479946,5.429996134057126,3.276684399657224,3.108914934055721,2.820007784455541,0.5725,0.4275,0.6300048082703618,0.4371629947560228,0.6659768281125017,0.4492953725535002,0.45374762808349145,0.3409405255878285
