t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.8609216468497434,1.4519942935755998,0.6185176404794855,0.5865841176902992,0.5407851894037115,0.5545440648005369,0.4454559351994631,0.6109216468497434,0.45199429357559984,0.6572741378457013,0.45181399175537224,0.45181399175537224,0.3427258621542985
1,1.8609216468497434,1.4519942935755998,2.488228078870293,1.8876038019803933,0.9141716211189072,0.8657586469102189,0.7960242213257179,0.5673010270432164,0.43269897295678356,0.6273064320205497,0.43560950840479357,0.6630435281582469,0.448112053348826,0.448112053348826,0.3369564718417532
2,2.488228078870293,1.8876038019803933,3.1260861571290666,2.3126616641469626,1.2110878530678637,1.1501450659669092,1.046128504085112,0.5769944242463787,0.4230055757536213,0.6378580782587737,0.4250578621665695,0.6702595635608349,0.45471678406879457,0.45471678406879457,0.32974043643916495
3,3.1260861571290666,2.3126616641469626,3.772923282411501,2.7287404792898715,1.5094033879171167,1.437126729846257,1.2940811448808862,0.5855426433889462,0.41445735661105376,0.6468371252824345,0.4160788151429088,0.6764697133331394,0.46151493458773263,0.46151493458773263,0.3235302866668608
4,3.772923282411501,2.7287404792898715,4.427747996960061,3.1368317051666548,1.8090971988374533,1.726250252036807,1.5403444225420238,0.5932007876359633,0.40679921236403666,0.65482471454856,0.40809122587678326,0.6819823571254011,0.4677707667813679,0.4677707667813679,0.31801764287459866
5,4.427747996960061,3.1368317051666548,5.089798735945118,3.537696906606941,2.1101118652057895,2.017295395966932,1.7851108885798306,0.6001446038074426,0.3998553961925574,0.6620507389850568,0.4008652014402865,0.686978904910003,0.4735215075912145,0.4735215075912145,0.3130210950899969
6,5.089798735945118,3.537696906606941,5.758463043136082,3.9319485398413203,2.412390464368503,2.3100976723915068,2.0285186093615994,0.6065089754882748,0.3934910245117252,0.6686643071909639,0.3942516332343793,0.691563166093249,0.4788507920328655,0.4788507920328655,0.30843683390675114
7,5.758463043136082,3.9319485398413203,6.433235546711803,4.320091976690943,2.7158821668539828,2.6045239456835927,2.2706779486512496,0.6123941510533026,0.38760584894669725,0.6747725035757209,0.38814343684962227,0.6958060695959952,0.48382685445075363,0.48382685445075363,0.3041939304040047
8,6.433235546711803,4.320091976690943,7.113690784407209,4.70255267942088,3.0205418717878203,2.900463543259322,2.5116797241644204,0.617875471697269,0.38212452830273097,0.6804552376954062,0.38246070272993715,0.6997603214164901,0.48850228714858684,0.48850228714858684,0.30023967858351
9,7.113690784407209,4.70255267942088,7.799464658101377,5.079694746152055,3.3263292016658252,3.197822692898183,2.751600117335611,0.6230108966809753,0.3769891033190246,0.6857738736941685,0.3771420667311747,0.703466650022031,0.49291813145816626,0.49291813145816626,0.296533349977969
10,7.799464658101377,5.079694746152055,8.490241337220837,5.451834007457938,3.633207651661268,3.496520674981126,2.990504070209333,0.6278460496745357,0.37215395032546417,0.6907766791194601,0.3721392613058831,0.7069573148614535,0.4971070446801154,0.4971070446801154,0.29304268513854653
11,8.490241337220837,5.451834007457938,9.185743732563578,5.81924755254054,3.9411439361419602,3.7964870804234527,3.228447704200159,0.6324175699607519,0.36758243003924806,0.6955023953427412,0.36741354508260204,0.7102583602793001,0.5010954849410882,0.5010954849410882,0.28974163972069994
12,9.185743732563578,5.81924755254054,9.885726387465137,6.1821808380643235,4.250107485814658,4.09765980611279,3.4654800823881122,0.6367553885236537,0.36324461147634624,0.6999826549015596,0.36293328552378357,0.713391151548961,0.5049052263181913,0.5049052263181913,0.28660884845103896
13,9.885726387465137,6.1821808380643235,10.58997005485937,6.540853111095434,4.560070054063999,4.399983553914409,3.7016445233867614,0.6408843168914272,0.3591156831085728,0.7042436673942326,0.3586722730311106,0.7163734577994553,0.5085544330348064,0.5085544330348064,0.2836265422005448
14,10.58997005485937,6.540853111095434,11.298277481145787,6.8954616252343595,4.871005403249043,4.703408682430867,3.936979601809478,0.6448251849644173,0.3551748150355827,0.7083074262864177,0.35460851413892547,0.7192202350437668,0.5120584385012934,0.5120584385012934,0.2807797649562332
15,11.298277481145787,6.8954616252343595,12.010470073759057,7.246184973046432,5.182889050709753,5.007890312027176,4.171519924448512,0.6485956744759325,0.3514043255240674,0.71219259261327,0.35072334781207315,0.7219442044829999,0.5154303220172088,0.5154303220172088,0.27805579551700005
16,12.010470073759057,7.246184973046432,12.726385228819202,7.5931857584116305,5.495698060230092,5.3133876157653415,4.405296742386158,0.6522109417269524,0.3477890582730476,0.7159151550601452,0.3470007853651979,0.7245562875754732,0.5186813435473128,0.5186813435473128,0.27544371242452675
17,12.726385228819202,7.5931857584116305,13.445874160523479,7.936612767132698,5.809410868709969,5.619863249504797,4.63833844072021,0.6556840910720048,0.34431590892799524,0.7194889317042759,0.3434270087210674,0.7270659387438762,0.5218212768608396,0.5218212768608396,0.2729340612561238
18,13.445874160523479,7.936612767132698,14.168800117881677,8.276602750199844,6.124007140529489,5.927282887997214,4.870670935401116,0.6590265405475502,0.34097345945244995,0.722925957358198,0.33998998306714523,0.7294814035441902,0.5248586685215864,0.5248586685215864,0.2705185964558098
19,14.168800117881677,8.276602750199844,14.895036904647428,8.613281903859436,6.439467643992346,6.2356148429620895,5.102317998474445,0.6622483081452789,0.33775169185472104,0.7262367867657517,0.33667915365959167,0.7318099216378176,0.5278010418726777,0.5278010418726777,0.26819007836218245
20,14.895036904647428,8.613281903859436,15.624467639547701,8.946767109384506,6.755774145588723,6.544829745447484,5.333301527375888,0.6653582387561665,0.33464176124383355,0.7294307349002723,0.3334852055250709,0.7340578882666462,0.5306550595991589,0.5306550595991589,0.2659421117333537
21,15.624467639547701,8.946767109384506,16.356983709111567,9.277166980245982,7.072909318798294,6.854900279226591,5.5636417699616185,0.6683641861118519,0.3316358138881481,0.7325160695638679,0.3303998708614754,0.7362309841004528,0.5334266546696423,0.5334266546696423,0.26376901589954704
22,16.356983709111567,9.277166980245982,17.092483876449112,9.604582753333778,7.390856664875533,7.16580095516653,5.793357514123178,0.6712731601410307,0.32872683985896933,0.7355001673375456,0.3274157730877975,0.7383342806768105,0.536121136838257,0.536121136838257,0.26166571932318944
23,17.092483876449112,9.604582753333778,17.830873517484232,9.929109052724002,7.709600443598795,7.477507918825456,6.022466248777507,0.6740914474289126,0.3259085525710873,0.7383896410351198,0.32452629939022337,0.740372326790068,0.5387432800423451,0.5387432800423451,0.2596276732099319
24,17.830873517484232,9.929109052724002,18.572063962242243,10.250834548391332,8.029125612372928,7.789998785248179,6.250984301505201,0.6768247105303042,0.32317528946969565,0.7411904447580124,0.3217254956673308,0.7423492198546843,0.5412973947109185,0.5412973947109185,0.2576507801453157
25,18.572063962242243,10.250834548391332,19.315971923409396,10.56984252764952,8.349417772388232,8.103252496214083,6.478926956976184,0.6794780704909433,0.3205219295090565,0.7439079611671544,0.31900797925818886,0.7442686653035903,0.5437873880408298,0.5437873880408298,0.2557313346964097
26,19.315971923409396,10.56984252764952,20.06251899791615,10.886211393568107,8.670463120781521,8.417249196164358,6.706308559444445,0.6820561759121653,0.3179438240878347,0.7465470745067557,0.3163688659185875,0.7461340263741973,0.5462168145934616,0.5462168145934616,0.25386597362580277
27,20.06251899791615,10.886211393568107,20.811631230031132,11.200015101878467,8.992248407934992,8.731970123781606,6.933142601937404,0.6845632611398795,0.31543673886012036,0.7491122321149835,0.31380370831035975,0.747948366108614,0.5485889190409343,0.5485889190409343,0.2520516338913861
28,20.811631230031132,11.200015101878467,21.56323872658945,11.511323545745492,9.314760899199303,9.047397516772902,7.159441804258483,0.6870031955946267,0.31299680440537314,0.7516074965583177,0.3113084438670254,0.7497144829994836,0.5509066724968968,0.5509066724968968,0.2502855170005163
29,21.56323872658945,11.511323545745492,22.31727531666337,11.820202896096914,9.637988340447102,9.363514527859442,7.38521818152572,0.6893795258327213,0.3106204741672785,0.7540365900739213,0.30887935035142183,0.7514349414128808,0.5531728035675719,0.5531728035675719,0.24856505858711928
30,22.31727531666337,11.820202896096914,23.0736782493222,12.12671590386343,9.961918926959978,9.680305150332694,7.6104831046577255,0.6916955116025265,0.30830448839747326,0.7564029326588283,0.3065130077665147,0.7531120976898539,0.5553898250290618,0.5553898250290618,0.24688790231014618
31,23.0736782493222,12.12671590386343,23.832387924200575,12.430922169410398,10.286541275230116,9.997754151820935,7.835247353970892,0.6939541569085643,0.3060458430914354,0.7587096748783754,0.3042062655469677,0.7547481226504493,0.5575600568591146,0.5575600568591146,0.2452518773495507
32,23.832387924200575,12.430922169410398,24.59334765045975,12.732878383576562,10.61184439732175,10.315847015137418,8.05952116685393,0.696158236900712,0.3038417630992877,0.7609597262591777,0.30195621416616536,0.7563450210854561,0.5596856462127767,0.5596856462127767,0.24365497891454402
33,24.59334765045975,12.732878383576562,25.35650343042932,13.032638544032336,10.937817677490239,10.63456988526568,8.283314280326172,0.6983103212524726,0.30168967874752706,0.7631557799695692,0.2997601604557738,0.7579046487121716,0.5617685848221501,0.5617685848221501,0.2420953512878285
34,25.35650343042932,13.032638544032336,26.12180376479151,13.330254150095492,11.264450850799966,10.953909521686604,8.506635969156843,0.7004127945712655,0.2995872054287343,0.7653003343621881,0.29761560606315496,0.7594287269842716,0.5638107242139676,0.5638107242139676,0.2405712730157286
35,26.12180376479151,13.330254150095492,26.88919947664285,13.62577437866949,11.591733983518422,11.273853255374469,8.729495080116697,0.702467874287336,0.2975321257126637,0.7673957118513446,0.2955202285739983,0.7609188560770891,0.5658137890696229,0.5658137890696229,0.23908114392291097
36,26.88919947664285,13.62577437866949,27.65864355215895,13.919246243578737,11.919657455094146,11.594388949889867,8.951900062846665,0.7044776263907364,0.2955223736092633,0.769444075516097,0.2934718649092459,0.7623765263144482,0.5677793889968252,0.5677793889968252,0.2376234736855519
37,27.65864355215895,13.919246243578737,28.430090995913048,14.21071474024998,12.248211941551672,11.915504966080713,9.173858997756467,0.7064439793236308,0.2935560206763689,0.7714474437541001,0.29146849667124297,0.7638031282586477,0.5697090289372326,0.5697090289372326,0.23619687174135234
38,28.430090995913048,14.21071474024998,29.203498699170936,14.500222977417437,12.577388400157895,12.237190129971998,9.395379621306548,0.7083687362847398,0.2916312637152599,0.7734077032578869,0.2895082371674561,0.7651999616490042,0.5716041183979542,0.5716041183979542,0.23480003835099558
39,29.203498699170936,14.500222977417437,29.97882531971264,14.787812297301075,12.907178055232986,12.559433703483082,9.616469348977036,0.7102535861616117,0.28974641383838795,0.7753266205417052,0.2875893198836378,0.7665682433448251,0.5734659796650398,0.5734659796650398,0.23343175665517488
40,29.97882531971264,14.787812297301075,30.756031171923965,15.073522385515092,13.237572384993992,12.882225357659948,9.837135296185712,0.7121001132726774,0.28789988672732225,0.7772058522113251,0.2857100882140179,0.7679091144044129,0.5752958551325873,0.5752958551325873,0.23209088559558727
41,30.756031171923965,15.073522385515092,31.535078126063798,15.3573913718006,13.568563109333098,13.20555514815122,10.057384297381862,0.7139098060732658,0.28609019392673396,0.7790469541398344,0.2838689862855085,0.769223646411709,0.5770949138608963,0.5770949138608963,0.23077635358829107
42,31.535078126063798,15.3573913718006,32.31592951575186,15.639455922537877,13.900142178443595,13.529413492691491,10.277222923513113,0.7156840649567233,0.28431593504327635,0.7808513896880666,0.28206455073727643,0.770512847145566,0.5788642574603011,0.5788642574603011,0.22948715285443394
43,32.31592951575186,15.639455922537877,33.09855005283994,15.919751325875145,14.232301762216725,13.85379115038548,10.496657498037269,0.717424209262669,0.28257579073733063,0.7826205370880752,0.28029540333726777,0.771777665672857,0.5806049253833816,0.5806049253833816,0.228222334327143
44,33.09855005283994,15.919751325875145,33.882905748931066,16.198311570209363,14.565034240341099,14.178679202611674,10.715694111629471,0.7191314835883879,0.28086851641161187,0.7843556960911251,0.2785602443342179,0.7730189969350462,0.5823178996965026,0.5823178996965026,0.2269810030649539
45,33.882905748931066,16.198311570209363,34.668963842898556,16.475169416667217,14.89833219304367,14.504069035386147,10.934338635716587,0.72080706348597,0.2791929365140296,0.7860580939674875,0.27685784645785544,0.7742376858881675,0.5840041093918448,0.5840041093918448,0.22576231411183273
46,34.668963842898556,16.475169416667217,35.45669273383192,16.750356466159193,15.232188392417958,14.829952323045955,11.15259673495508,0.7224520606164903,0.27754793938350936,0.7877288909333687,0.27518704949197414,0.7754345312479662,0.5856644342927618,0.5856644342927618,0.22456546875203393
47,35.45669273383192,16.750356466159193,36.24606191890211,17.02390322151435,15.56659579429074,15.156321013127581,11.37047387875471,0.7240675274229593,0.27593247257704034,0.789369185070188,0.2735467553551548,0.776610288885043,0.5872997085982944,0.5872997085982944,0.22338971111495692
48,36.24606191890211,17.02390322151435,37.03704193569496,17.29583914514684,15.901547530583414,15.483167312330215,11.587975351938818,0.7256544613756776,0.2743455386243221,0.7909800167928508,0.2719359236324921,0.7777656749089643,0.5889107241066915,0.5889107241066915,0.22223432509103574
49,37.03704193569496,17.29583914514684,37.82960430861131,17.566192712655827,16.23703690212873,15.810483673465605,11.805106264621633,0.7272138088367044,0.2727861911632953,0.7925623729163538,0.27035356750898903,0.7789013684752919,0.5904982331527011,0.5904982331527011,0.22109863152470816
