t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.7457642627551508,1.5671516776701924,0.7358675156265824,0.5202850768544464,0.6078484481938298,0.34640143928512357,0.6535985607148763,0.49576426275515095,0.5671516776701923,0.49387438015378665,0.1989284984164605,0.1989284984164605,0.5061256198462131
1,1.7457642627551508,1.5671516776701924,2.226328508803659,2.1495033720470276,1.0900596770956985,0.7683361352587117,0.8952543931321247,0.3286528892324039,0.6713471107675959,0.48056424604850795,0.5823516943768351,0.7940413780275947,0.08200111850473103,0.08200111850473103,0.20595862197240544
2,2.226328508803659,2.1495033720470276,2.698410987432874,2.7403368338431555,1.4413141222793096,1.0153287376763833,1.181747537003558,0.32014905285100204,0.6798509471489979,0.4720824786292151,0.5908334617961281,0.8161447833899844,0.07733810263749365,0.07733810263749365,0.1838552166100155
3,2.698410987432874,2.7403368338431555,3.1650855410897973,3.3365782206115755,1.7911422171737232,1.261310913196131,1.4679185389254867,0.3150499117123507,0.6849500882876491,0.4666745536569231,0.59624138676842,0.82199065761517,0.07632611448448764,0.07632611448448764,0.17800934238483002
4,3.1650855410897973,3.3365782206115755,3.628018898151116,3.9365608039755995,2.1400731198522744,1.5065058449294637,1.753932228729775,0.31164345928277337,0.6883565407172265,0.462933357061319,0.5999825833640241,0.8240992426952425,0.075934095810467,0.075934095810467,0.17590075730475757
5,3.628018898151116,3.9365608039755995,4.088206947659073,4.539288694892985,2.488384844946673,1.7511063703421683,2.0398415771915572,0.3092002880605595,0.6907997119394403,0.46018804950795733,0.6027278909173858,0.8249443712890258,0.07570462019856394,0.07570462019856394,0.17505562871097438
6,4.088206947659073,4.539288694892985,4.5462879951959945,5.144123587781406,2.8362457699864825,1.9952569664069582,2.3256653537635,0.3073546486070829,0.6926453513929169,0.4580810475369214,0.6048348928884217,0.8252790412046762,0.07553293731082063,0.07553293731082063,0.17472095879532393
7,4.5462879951959945,5.144123587781406,5.002694378445653,5.750633144957091,3.183765513178756,2.2390620517333124,2.611412158846308,0.30590411533211287,0.6940958846678869,0.45640638324965777,0.6065095571756853,0.8253865710443926,0.0753888201498041,0.0753888201498041,0.17461342895560722
8,5.002694378445653,5.750633144957091,5.457732393796355,6.3585110700317315,3.531018884424099,2.482596789736489,2.897087891800271,0.30472839950053554,0.6952716004994643,0.4550380153507024,0.6078779250746407,0.8253877671700748,0.07526176992595354,0.07526176992595354,0.17461223282992483
9,5.457732393796355,6.3585110700317315,5.911627263789215,6.967532140464215,3.878058805290119,2.7259157624326615,3.1826978903209957,0.30375189685974313,0.6962481031402568,0.4538948699928599,0.6090210704324832,0.8253384670619962,0.0751473621361526,0.0751473621361526,0.1746615329380039
10,5.911627263789215,6.967532140464215,6.3645498156769476,7.577525529001825,4.224923849228273,2.9690591843884238,3.468247387122284,0.302924828763814,0.6970751712361858,0.4529225518877326,0.6099933885376104,0.8252658970536461,0.07504328828251934,0.07504328828251934,0.17473410294635403
11,6.3645498156769476,7.577525529001825,6.816633037337148,8.188358247766967,4.5716428743156845,3.2120571926387833,3.7537414881146605,0.302213100899885,0.6977868991001148,0.4520832216602009,0.6108327187651423,0.8251837907787581,0.07494807523685722,0.07494807523685722,0.1748162092212419
12,6.816633037337148,8.188358247766967,7.267982759104196,8.799924466425262,4.918237977784486,3.4549327794732236,4.03918505992721,0.301592554519532,0.6984074454804678,0.45134972176704824,0.611566218658295,0.8250991934366015,0.07486063264934978,0.07486063264934978,0.17490080656339843
13,7.267982759104196,8.799924466425262,7.718684784955246,9.412138380999556,5.264726436629934,3.6977038015974695,4.324582638423345,0.3010455600801439,0.698954439919856,0.45070202585104974,0.6122139145742934,0.8250157115527312,0.07478007923909927,0.07478007923909927,0.17498428844726877
14,7.718684784955246,9.412138380999556,8.168809799091513,10.024929307288634,5.611122014410779,3.9403843674743086,4.609938378908263,0.30055891993704154,0.6994410800629582,0.4501250141362655,0.6127909262890776,0.8249351375827856,0.07470566954210708,0.07470566954210708,0.17506486241721433
15,8.168809799091513,10.024929307288634,8.618416833503147,10.638238213302342,5.957435860947837,4.182985805903789,4.895256041903783,0.30012253247758736,0.6998774675224124,0.4496070344116348,0.6133089060137082,0.8248582914368265,0.07463675896406077,0.07463675896406077,0.17514170856317343
16,8.618416833503147,10.638238213302342,9.067555777623681,11.252015209607151,6.303677144473815,4.4255173509330135,5.180539003159053,0.29972851499177333,0.7002714850082264,0.44913894412053434,0.6137769963048088,0.8247854685727433,0.07457278428718205,0.07457278428718205,0.17521453142725676
17,9.067555777623681,11.252015209607151,9.516269233634127,11.86621769402205,6.649853504345929,4.66798663288877,5.465790277931211,0.29937061171952295,0.7006293882804768,0.4487134560104445,0.6142024844148986,0.8247166836473858,0.07451325087203693,0.07451325087203693,0.17528331635261413
18,9.516269233634127,11.86621769402205,9.964593914206608,12.480808953874911,6.995971381153849,4.910400035480743,5.751012552316924,0.2990437842891395,0.7009562157108602,0.44832468057248204,0.6145912598528611,0.8246518049834687,0.07445772308190139,0.07445772308190139,0.17534819501653123
19,9.964593914206608,12.480808953874911,10.412561713450057,13.095757095056806,7.342036261575259,5.152762959290655,6.036208216913112,0.2987439218756265,0.7012560781243732,0.4479677992434482,0.6149481411818949,0.824590629416857,0.07440581650674714,0.07440581650674714,0.1754093705831429
20,10.412561713450057,13.095757095056806,10.860200539932713,13.711034208999493,7.688052862952072,5.395080019005345,6.32137939995732,0.29846763183731684,0.7015323681626828,0.4476388264826561,0.6152771139426869,0.8245329240060794,0.07435719137526645,0.07435719137526645,0.1754670759939208
21,10.860200539932713,13.711034208999493,11.307534973451338,14.326615715906211,8.034025274554427,5.637355193147694,6.606527998378962,0.2982120856511791,0.7017879143488206,0.44733443351862456,0.6155815069067184,0.8244784490706799,0.07431154686801311,0.07431154686801311,0.17552155092932004
