t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.8059858550066668,1.5069300854186765,0.5965146986080968,0.5702541488131929,0.5512820527869953,0.5230760343891164,0.4769239656108837,0.5559858550066668,0.5069300854186765,0.6283732796960112,0.4177787890822211,0.4177787890822211,0.37162672030398847
1,1.8059858550066668,1.5069300854186765,2.3593075588902606,2.016524321960426,0.879043161068346,0.8361327577860379,0.8171064917905003,0.5205695792483582,0.4794304207516416,0.5533217038835939,0.5095942365417493,0.6211275988940212,0.4102805312343785,0.4102805312343785,0.37887240110597836
2,2.3593075588902606,2.016524321960426,2.9097758776863483,2.5289719435896814,1.1614992372357964,1.1032038986695611,1.0815162729876802,0.5178850912479576,0.48211490875204244,0.5504683187960876,0.5124476216292557,0.6189983183513387,0.4080954996589878,0.4080954996589878,0.38100168164866144
3,2.9097758776863483,2.5289719435896814,3.458177918991773,3.0434858427096,1.443955229996748,1.3702083799685503,1.3459892115505063,0.5159411205047624,0.4840588794952376,0.5484020413054248,0.5145138991199185,0.6176356126976632,0.4067014757382033,0.4067014757382033,0.38236438730233674
4,3.458177918991773,3.0434858427096,4.0050382875693975,3.5595414145573185,1.7264124525963347,1.6370796243268115,1.610598802121488,0.5144907022081062,0.48550929779189383,0.5468603685776244,0.5160555718477189,0.6166056137623233,0.40565005467682597,0.40565005467682597,0.3833943862376765
5,4.0050382875693975,3.5595414145573185,4.550696360374367,4.076799282177692,2.0088698950712507,1.903844214753623,1.875315950998386,0.5133595725233133,0.4866404274766869,0.5456580728049697,0.5172578676203736,0.6157880459040469,0.4048168578205631,0.4048168578205631,0.3842119540959529
6,4.550696360374367,4.076799282177692,5.0953840069788825,4.59502757599852,2.291327072005588,2.170525458881834,2.140116008979442,0.512446587626252,0.4875534123737483,0.5446876466045156,0.5182282938208277,0.615119477231395,0.40413641086857854,0.40413641086857854,0.3848805227686048
7,5.0953840069788825,4.59502757599852,5.639267617006144,5.1140599063966015,2.5737837994497017,2.437139715691057,2.404982078440963,0.5116901434459793,0.4883098565540207,0.5438836100272619,0.5190323303980815,0.6145601984842518,0.4035678181060082,0.4035678181060082,0.3854398015157482
8,5.639267617006144,5.1140599063966015,6.1824712846296626,5.633772179198426,2.8562400241095225,2.703698689412252,2.6699022757174635,0.511050448077904,0.488949551922096,0.5432036676235185,0.5197122728018249,0.6140837633958426,0.40308389530995203,0.40308389530995203,0.38591623660415747
9,6.1824712846296626,5.633772179198426,6.725090429122683,6.154068975130749,3.1386957483049684,2.9702110644462225,2.9348678936513743,0.5105005239416037,0.4894994760583963,0.5426191444930202,0.5202967959323231,0.6136718186782825,0.4026658072582801,0.4026658072582801,0.38632818132171765
10,6.725090429122683,6.154068975130749,7.2672002581702335,6.674875086508542,3.421150997408523,3.236683489483944,3.199872328369173,0.5100213558097704,0.4899786441902297,0.5421098290475507,0.5208061113777926,0.6133111971998063,0.4023000594111447,0.4023000594111447,0.38668880280019374
11,7.2672002581702335,6.674875086508542,7.8088612736505585,7.19613001145356,3.7036058052586993,3.50312118620653,3.4649104301085245,0.5095991083392445,0.4904008916607554,0.5416610154803245,0.5212549249450187,0.612992185694347,0.4019767086300832,0.4019767086300832,0.38700781430565295
12,7.8088612736505585,7.19613001145356,8.350122991249952,7.7177842342795095,3.986060207507665,3.769528342646209,3.729978091017171,0.5092234456308927,0.49077655436910717,0.5412617175993941,0.5216542228259492,0.6127074471133134,0.4016882519157494,0.4016882519157494,0.387292552886687
13,8.350122991249952,7.7177842342795095,8.891026533988542,8.239796631966263,4.268514238627056,4.0359083774653834,3.9950719721011643,0.5088864717958217,0.4911135282041784,0.5409035427385906,0.5220123976867526,0.612451325466839,0.401428910583655,0.401428910583655,0.3875486745331611
