t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.7805044373927799,1.4694955626072201,0.572170136113062,0.5606158858858411,0.5621806249757931,0.4981,0.5019,0.5305044373927797,0.4694955626072201,0.5943632154923187,0.39186180335278026,0.4007106198183972,0.4019051479529793
1,1.7805044373927799,1.4694955626072201,2.294760860150145,1.955239139849855,0.828226989585663,0.8199679711038602,0.801542982192189,0.4772,0.5227999999999999,0.5142564227573652,0.48574357724263484,0.604533152712798,0.3663179591167068,0.35345686391711495,0.39811282874924714
2,2.294760860150145,1.955239139849855,2.8117286704501403,2.4382713295498597,1.083421876386898,1.0632267701008034,1.0593065729508897,0.4803,0.5197,0.5169678102999952,0.4830321897000048,0.606272479862089,0.36371316576906215,0.36744452945677125,0.39606035205364626
3,2.8117286704501403,2.4382713295498597,3.340170820249118,2.9098291797508815,1.341665870172427,1.2922493064244813,1.33299382554922,0.4862,0.5138,0.528442149798978,0.4715578502010219,0.603821579056241,0.3615407796230087,0.3707908408697325,0.3889235894232771
4,3.340170820249118,2.9098291797508815,3.8613924122401317,3.388607587759868,1.5967386739828062,1.5496311613092077,1.574185433438707,0.4799,0.5201,0.5212215919910138,0.47877840800898613,0.604802014955592,0.356622863508963,0.35889451148306734,0.3922254216371863
5,3.8613924122401317,3.388607587759868,4.380944088726973,3.8690559112730267,1.8515294402005433,1.7986225126909405,1.8251196666275733,0.4797,0.5203,0.5195516764868409,0.4804483235131591,0.6047136757236439,0.35752438794989433,0.3670447990771006,0.3982079599916649
6,4.380944088726973,3.8690559112730267,4.89075569180035,4.35924430819965,2.105174896584934,2.06724400350566,2.054616344643119,0.4707,0.5293,0.5098116030733769,0.49018839692662314,0.6032045085577377,0.35799049767155294,0.3482606188737267,0.3964978111319575
7,4.89075569180035,4.35924430819965,5.408550012783935,4.841449987216065,2.3612994029393457,2.2929777941827556,2.3312032511355456,0.4789,0.5211,0.5177943209835849,0.4822056790164151,0.6040161151062197,0.35856337896151513,0.36557717740411866,0.39366900361164225
8,5.408550012783935,4.841449987216065,5.927959655396272,5.322040344603728,2.6170778748865313,2.534184508062717,2.5908092384765675,0.48,0.52,0.5194096426123375,0.48059035738766254,0.601755617017071,0.3572085492229759,0.35962387257724043,0.3890164961369806
9,5.927959655396272,5.322040344603728,6.44318236651668,5.80681763348332,2.8750694290550602,2.792665681553742,2.831217866332567,0.4747,0.5253,0.5152227111204087,0.48477728887959126,0.6015485433969292,0.35638520615384506,0.36480769230769233,0.40625
10,6.44318236651668,5.80681763348332,6.955426991182276,6.294573008817724,3.1271316619182397,3.049627004866761,3.073521994402989,0.4732,0.5267999999999999,0.5122446246655953,0.4877553753344047,0.6018036648627365,0.35666020601743154,0.3565581572434799,0.39772487887086583
11,6.955426991182276,6.294573008817724,7.467509165858347,6.782490834141652,3.3848841725034013,3.296277276999998,3.327119970180781,0.4717,0.5283,0.5120821746760718,0.4879178253239282,0.6016744758775456,0.3568697136651621,0.3593394077448747,0.40321217244294166
12,7.467509165858347,6.782490834141652,7.980115408282847,7.269884591717152,3.6430734133766935,3.5401914902223304,3.583678081626155,0.4706,0.5294,0.5126062424245003,0.4873937575754997,0.601945123234904,0.3560850134046574,0.35453340904788944,0.3994064023743905
13,7.980115408282847,7.269884591717152,8.493665175496755,7.756334824503244,3.893289750977185,3.783281116705898,3.841122935353464,0.4741,0.5259,0.5135497672139078,0.48645023278609234,0.6024642888748499,0.3550402365219124,0.3509633547412165,0.38737781555461115
14,8.493665175496755,7.756334824503244,9.005852775967064,8.244147224032934,4.1499118327612505,4.035572502202454,4.088528019622066,0.4723,0.5277000000000001,0.5121876004703098,0.48781239952969024,0.6010015263840607,0.35541463744066865,0.3553907586993725,0.3980172959291289
15,9.005852775967064,8.244147224032934,9.519299863646822,8.730700136353176,4.400208886139191,4.276394408291693,4.3484233528402,0.4768,0.5232,0.5134470876797573,0.48655291232024267,0.6011080020058126,0.3553400907556708,0.36441159749857877,0.39762862587338554
16,9.519299863646822,8.730700136353176,10.035345232669536,9.214654767330462,4.661269396785303,4.50857458335591,4.6178212965591205,0.4763,0.5237,0.5160453690227148,0.48395463097728514,0.5986068531638112,0.3565339300239453,0.3627675840978593,0.3991191275167785
17,10.035345232669536,9.214654767330462,10.54507488889105,9.704925111108949,4.917718396242334,4.788836805026042,4.834733403064355,0.4692,0.5307999999999999,0.5097296562215131,0.4902703437784869,0.5998345469308092,0.35462036317421386,0.35382852778308194,0.4039470921688012
18,10.54507488889105,9.704925111108949,11.057005449593726,10.192994550406272,5.173315822349422,5.022823652588515,5.1019756049853,0.4713,0.5287,0.5119305607026771,0.488069439297323,0.6012636873858517,0.3549909119318253,0.35060286360211,0.39215686274509803
19,11.057005449593726,10.192994550406272,11.565713429432906,10.684286570567092,5.4274289262058,5.288801873008375,5.334678374814037,0.4687,0.5313,0.5087079798391795,0.4912920201608205,0.6008026248793819,0.35437278120012966,0.3540760355589181,0.4027158922130278
20,11.565713429432906,10.684286570567092,12.07298726346302,11.177012736536978,5.681526988993538,5.544758529878536,5.578300958342514,0.468,0.532,0.5072738340301146,0.4927261659698854,0.6007503712621979,0.35498460438570484,0.3438735177865613,0.3912950714742906
21,12.07298726346302,11.177012736536978,12.574573809656476,11.675426190343522,5.929965256162751,5.830553920262136,5.790656568108839,0.4646,0.5354,0.5015865461934563,0.49841345380654367,0.6001464889300021,0.3554058608582248,0.35150375939849626,0.40683760683760684
22,12.574573809656476,11.675426190343522,13.085093783324004,12.164906216675995,6.20104228119508,6.013723464105999,6.1115743377926846,0.4682,0.5318,0.5105199736675273,0.4894800263324728,0.5996145346268008,0.3569075000565512,0.3516996638027643,0.3975462763667671
23,13.085093783324004,12.164906216675995,13.59781941384972,12.652180586150278,6.457857712159164,6.244320461962604,6.382501279317749,0.4699,0.5301,0.5127256305257158,0.48727436947428415,0.6008786369406549,0.3532435796711871,0.35671305001880405,0.40153780435711234
24,13.59781941384972,12.652180586150278,14.114679471282631,13.135320528717367,6.709989221598049,6.460421499794683,6.669535165001314,0.4756,0.5244,0.5168600574329109,0.4831399425670892,0.6007793930757884,0.3525391063319832,0.35465006602527827,0.38795488401787614
25,14.114679471282631,13.135320528717367,14.630613585376294,13.619386414623705,6.964502097704075,6.713524191032723,6.915893588070624,0.4751,0.5248999999999999,0.5159341140936625,0.4840658859063375,0.5988860410988416,0.35264571272843115,0.35850495804729215,0.39634146341463417
26,14.630613585376294,13.619386414623705,15.139407688686944,14.110592311313054,7.213987606237404,7.017512708588302,7.107080867811691,0.4694,0.5306,0.5087941033106514,0.4912058966893486,0.598784792213076,0.3529535045742275,0.3499714231282149,0.39865291517575246
27,15.139407688686944,14.110592311313054,15.651729729451226,14.598270270548772,7.472425394757896,7.234616577553009,7.392488659387203,0.4716,0.5284,0.5123220407642811,0.4876779592357188,0.5994289560162505,0.35438134913841685,0.3488503580851866,0.3896463570515552
28,15.651729729451226,14.598270270548772,16.168347413143078,15.08165258685692,7.724181472275471,7.44460513261599,7.686157022739949,0.4775,0.5225,0.5166176836918522,0.4833823163081477,0.599726165571819,0.35301092886854496,0.3648750946252839,0.39631043256997456
29,16.168347413143078,15.08165258685692,16.665653898848234,15.584346101151763,7.9609030870959465,7.865948025078701,7.75397420931424,0.4627,0.5373,0.4973064857051571,0.5026935142948429,0.5977758033722039,0.35321783517912764,0.35291866028708135,0.41717277486911
30,16.665653898848234,15.584346101151763,17.17729488741979,16.072705112580206,8.235128454262462,7.978239463887789,8.149064520424602,0.4723,0.5277000000000001,0.5116409885715579,0.48835901142844207,0.5983104787135547,0.3577941684865884,0.35845896147403683,0.39550464663929114
31,17.17729488741979,16.072705112580206,17.682356969921305,16.567643030078692,8.48659326486685,8.28773974231039,8.335370301695448,0.4663,0.5337000000000001,0.5050620825015126,0.4949379174984873,0.5984836877027917,0.35351899310711876,0.3564525298465037,0.4109676053355918
32,17.682356969921305,16.567643030078692,18.18896168241733,17.06103831758267,8.740721982788807,8.519771942531806,8.604388569084044,0.4683,0.5317000000000001,0.5066047124960225,0.4933952875039776,0.5992563009705622,0.354521579704288,0.35544313284616824,0.4025305597254986
33,18.18896168241733,17.06103831758267,18.692131386686892,17.557868613313108,8.990905125012336,8.802067438633978,8.82032966205769,0.4662,0.5338,0.5031697042695616,0.4968302957304384,0.5985994622878905,0.3544034515255866,0.3498213278164378,0.401665598975016
34,18.692131386686892,17.557868613313108,19.2004924492847,18.0495075507153,9.251330053936693,8.994491256425341,9.131263640096806,0.4706,0.5294,0.5083610625978068,0.49163893740219317,0.5982338679615716,0.35543526514979046,0.35650056200824276,0.39875589875589873
35,19.2004924492847,18.0495075507153,19.702705635414382,18.547294364585618,9.512003341280234,9.306225849609003,9.316015800951526,0.4627,0.5373,0.502213186129682,0.4977868138703181,0.5975236139269355,0.35434900847686573,0.3505855685681904,0.41117722056948575
36,19.702705635414382,18.547294364585618,20.20701218622067,19.04298781377933,9.759950669577794,9.531237755106964,9.592244040634238,0.4674,0.5326,0.5043065508062875,0.4956934491937125,0.599461235572978,0.35437974581949544,0.3590173087660525,0.4067430300410633
37,20.20701218622067,19.04298781377933,20.714900284549504,19.535099715450496,10.025270783528779,9.73697310189774,9.88914126225268,0.468,0.532,0.5078880983288351,0.49211190167116503,0.5971673533644176,0.35533688354574283,0.35035674051821253,0.3979460847240051
38,20.714900284549504,19.535099715450496,21.220531333880206,20.029468666119794,10.283274654810043,10.009344754481061,10.115308557141029,0.4652,0.5347999999999999,0.5056310493307036,0.4943689506692965,0.5985976561640128,0.35313409994820505,0.35,0.40384615384615385
39,21.220531333880206,20.029468666119794,21.732503206929245,20.517496793070755,10.544210246304148,10.180687623231618,10.449540117652885,0.4711,0.5288999999999999,0.5119718730490374,0.4880281269509627,0.5990816978321624,0.35320819325477965,0.3481675392670157,0.3875752364574377
40,21.732503206929245,20.517496793070755,22.238464267663453,21.011535732336547,10.794827323977794,10.50012350908117,10.624972759658968,0.4658,0.5342,0.5059610607342088,0.49403893926579123,0.5979372209631779,0.3522850955863465,0.3539421440726035,0.4086181277860327
41,22.238464267663453,21.011535732336547,22.746196943682197,21.503803056317803,11.03952968114269,10.72710469516886,10.899396472549514,0.4689,0.5311,0.5077326760187456,0.4922673239812544,0.5986896155485076,0.35333396282024393,0.35866716585548486,0.40468012022327177
42,22.746196943682197,21.503803056317803,23.24995561808808,22.00004438191192,11.297772708666376,11.023700494477879,11.10004067233117,0.4646,0.5354,0.503758674405885,0.4962413255941151,0.5980986883449798,0.3531405749658202,0.35266428167953306,0.40861590957560245
43,23.24995561808808,22.00004438191192,23.75272357221485,22.49727642778515,11.547439887846824,11.284738431974015,11.338480069574048,0.4644,0.5356000000000001,0.5027679541267709,0.49723204587322906,0.5986286256150419,0.35369591421027935,0.34516249533059395,0.3981919931123547
44,23.75272357221485,22.49727642778515,24.263913046850412,22.986086953149588,11.824018738089519,11.417678253082142,11.712965614776403,0.4688,0.5312,0.5111894746355609,0.48881052536443914,0.598402834718292,0.3539605194159938,0.36109036594473487,0.4069767441860465
